</s>
index(uint256)
return
member
library_call
condition(temporary_variable)
solidity_call(require(bool))
internal_call(Modifier)
(local_solc_variable(default)):=(temporary_variable)
event
binary(+)
index(struct)
binary(==)
index(mapping)
(reference(uint256)):=(temporary_variable)
binary(!=)
type_conversion(address)
internal_call(tuple)
binary(-)
internal_call(uint256)
binary(>)
high_level_call
binary(>=)
binary(*)
binary(<=)
binary(/)
length
binary(<)
binary(&&)
internal_call(bool)
solidity_call(assert(bool))
(local_solc_variable(memory)):=(temporary_variable)
(local_solc_variable(default)):=(constant(uint256))
(state_solc_variable(uint256)):=(temporary_variable)
index(address)
solidity_call(require(bool,string))
index(bool)
type_conversion(user_defined_type)
(temporary_variable):=(local_solc_variable(default))
(local_solc_variable(default)):=(reference(uint256))
(state_solc_variable(address)):=(local_solc_variable(memory))
(reference(uint256)):=(local_solc_variable(memory))
unary(!)
binary(||)
type_conversion(uint256)
(reference(uint256)):=(constant(uint256))
(state_solc_variable(bool)):=(constant(bool))
(state_solc_variable(uint256)):=(local_solc_variable(memory))
(reference(bool)):=(constant(bool))
unpack
binary(**)
(state_solc_variable(address)):=(solidity_variable_composed(msg.sender))
index(bytes1)
(state_solc_variable(string)):=(local_solc_variable(memory))
(local_solc_variable(storage)):=(reference(user_defined_type))
new_structure
(reference(uint256)):=(state_solc_variable(uint256))
(state_solc_variable(uint256)):=(constant(uint256))
balance
(state_solc_variable(user_defined_type)):=(temporary_variable)
binary(%)
solidity_call(revert())
(reference(uint256)):=(local_solc_variable(default))
transfer(local_solc_variable(default))
(local_solc_variable(default)):=(solidity_variable_composed(msg.sender))
solidity_call(keccak256())
internal_call(address)
type_conversion(int256)
index(uint32)
(reference(uint256)):=(reference(uint256))
(state_solc_variable(string)):=(constant(string))
(reference(user_defined_type)):=(temporary_variable)
index(uint8)
(local_solc_variable(default)):=(reference(address))
new_elementary(bytes)
(reference(address)):=(local_solc_variable(memory))
index(bytes32)
index(bytes)
(local_solc_variable(default)):=(state_solc_variable(uint256))
type_conversion(uint8)
(local_solc_variable(default)):=(local_solc_variable(memory))
type_conversion(bytes)
(state_solc_variable(address)):=(temporary_variable)
internal_call(struct)
index(uint256[])
(local_solc_variable(memory)):=(reference(uint256))
(reference(bool)):=(local_solc_variable(memory))
(state_solc_variable(user_defined_type)):=(local_solc_variable(memory))
internal_call(bytes32)
solidity_call(abi.encodePacked())
index(int256)
condition(reference(bool))
(local_solc_variable(default)):=(local_solc_variable(default))
(state_solc_variable(uint256)):=(state_solc_variable(uint256))
index(uint16)
internal_call(bytes)
(temporary_variable):=(reference(uint256))
binary(&)
low_level_call
(temporary_variable):=(state_solc_variable(uint256))
(local_solc_variable(default)):=(constant(bool))
type_conversion(uint32)
(state_solc_variable(uint8)):=(local_solc_variable(memory))
(state_solc_variable(address)):=(state_solc_variable(address))
type_conversion(bytes1)
(local_solc_variable(memory)):=(reference(user_defined_type))
(state_solc_variable(bool)):=(local_solc_variable(memory))
type_conversion(bytes32)
type_conversion(uint64)
binary(<<)
new_array(uint256)
transfer(reference(uint256))
(state_solc_variable(uint8)):=(constant(uint256))
type_conversion(uint128)
transfer(temporary_variable)
internal_call(enum)
condition(local_solc_variable(memory))
(reference(address)):=(reference(address))
binary(>>)
binary(|)
condition(state_solc_variable(bool))
(local_solc_variable(default)):=(solidity_variable_composed(msg.value))
solidity_call(keccak256(bytes))
transfer(local_solc_variable(memory))
transfer(solidity_variable_composed(msg.value))
index(string)
index(contract)
(local_solc_variable(default)):=(reference(user_defined_type))
solidity_call(sha3())
index(uint64)
(reference(uint256)):=(solidity_variablenow)
(local_solc_variable(memory)):=(state_solc_variable(uint256))
type_conversion(uint16)
type_conversion(bytes4)
(reference(uint8)):=(constant(uint256))
internal_call(contract)
solidity_call(sha256())
(state_solc_variable(uint256)):=(local_solc_variable(default))
new_contract
(state_solc_variable(user_defined_type)):=(reference(user_defined_type))
(reference(address)):=(solidity_variable_composed(msg.sender))
(local_solc_variable(default)):=(solidity_variablenow)
(local_solc_variable(memory)):=(local_solc_variable(memory))
(local_solc_variable(memory)):=(constant(uint256))
push(temporary_variable,state_solc_variable(user_defined_array))
push(local_solc_variable(memory),state_solc_variable(address[]))
delete(state_solc_variable(mapping),reference(user_defined_type))
(reference(user_defined_type)):=(local_solc_variable(memory))
solidity_call(selfdestruct(address))
(state_solc_variable(uint256)):=(solidity_variablenow)
internal_call(string)
(reference(user_defined_type)):=(reference(user_defined_type))
(reference(bytes1)):=(temporary_variable)
condition(local_solc_variable(default))
(reference(string)):=(local_solc_variable(memory))
internal_call(uint8)
(reference(bytes32)):=(local_solc_variable(memory))
init_array
(reference(bytes)):=(reference(bytes))
(reference(None)):=(reference(None))
(local_solc_variable(memory)):=(local_solc_variable(default))
(reference(address)):=(temporary_variable)
new_array(address)
(local_solc_variable(memory)):=(reference(address))
(local_solc_variable(memory)):=(constant(bool))
solidity_call(abi.encodeWithSelector())
solidity_call(ecrecover(bytes32,uint8,bytes32,bytes32))
push(local_solc_variable(memory),state_solc_variable(user_defined_array))
solidity_call(blockhash(uint256))
(local_solc_variable(default)):=(state_solc_variable(address))
(state_solc_variable(address)):=(constant(address))
internal_call(address_payable)
internal_call(int256)
type_conversion(uint160)
index(address[])
index(uint32[5])
(local_solc_variable(memory)):=(constant(string))
send(local_solc_variable(default))
(reference(uint32)):=(local_solc_variable(memory))
(reference(uint32)):=(temporary_variable)
internal_call(uint128)
(state_solc_variable(uint256)):=(reference(uint256))
type_conversion(string)
solidity_call(revert(string))
push(temporary_variable,reference(user_defined_array))
(state_solc_variable(uint32)):=(local_solc_variable(memory))
(reference(address)):=(local_solc_variable(default))
(reference(uint16)):=(reference(uint16))
delete(state_solc_variable(mapping),reference(address))
internal_call(uint32)
internal_call(uint16)
(reference(uint128)):=(temporary_variable)
(local_solc_variable(default)):=(solidity_variablethis)
(reference(bytes4)):=(constant(uint256))
(local_solc_variable(default)):=(reference(uint64))
(state_solc_variable(address)):=(constant(uint256))
(state_solc_variable(uint256)):=(solidity_variable_composed(block.number))
(local_solc_variable(default)):=(state_solc_variable(bytes32))
(reference(uint8)):=(temporary_variable)
(temporary_variable):=(local_solc_variable(memory))
delete(state_solc_variable(mapping),reference(uint256))
(reference(bool)):=(temporary_variable)
(reference(uint8)):=(local_solc_variable(memory))
(local_solc_variable(default)):=(reference(uint32))
push(local_solc_variable(memory),reference(uint256[]))
send(reference(uint256))
(reference(bytes32)):=(temporary_variable)
internal_call(uint256[])
solidity_call(abi.encode())
index(uint8[2])
(state_solc_variable(bool)):=(temporary_variable)
index(uint128)
delete(state_solc_variable(mapping),reference(bool))
(local_solc_variable(None)):=(tuple_variable)
index(enum)
(reference(bytes32)):=(local_solc_variable(default))
(reference(address)):=(state_solc_variable(address))
(local_solc_variable(default)):=(reference(uint8))
(reference(uint64)):=(local_solc_variable(memory))
(local_solc_variable(default)):=(reference(bytes32))
index(bytes4)
new_array(bytes)
(local_solc_variable(memory)):=(reference(string))
(reference(uint16)):=(temporary_variable)
(reference(address)):=(constant(uint256))
(reference(uint256)):=(solidity_variable_composed(block.timestamp))
(local_solc_variable(default)):=(reference(uint16))
(local_solc_variable(memory)):=(reference(bool))
(reference(uint16)):=(local_solc_variable(memory))
push(local_solc_variable(memory),state_solc_variable(uint256[]))
binary(^)
transfer(state_solc_variable(uint256))
(state_solc_variable(user_defined_type)):=(local_solc_variable(default))
type_conversion(uint40)
send(local_solc_variable(memory))
(local_solc_variable(default)):=(constant(int256))
(reference(uint256)):=(solidity_variable_composed(block.number))
delete(state_solc_variable(mapping),reference(bytes32))
solidity_call(abi.encodeWithSignature())
(reference(bytes32)):=(reference(bytes32))
(reference(uint64)):=(temporary_variable)
(state_solc_variable(uint32)):=(temporary_variable)
(reference(string)):=(constant(string))
(local_solc_variable(memory)):=(reference(uint64))
(state_solc_variable(address[])):=(local_solc_variable(memory))
index(bytes32[])
push(constant(uint256),state_solc_variable(uint256[]))
index(uint32[])
solidity_call(gasleft())
(state_solc_variable(string)):=(state_solc_variable(string))
(reference(bytes)):=(local_solc_variable(memory))
(state_solc_variable(bytes32)):=(temporary_variable)
(reference(int256)):=(temporary_variable)
push(solidity_variable_composed(msg.sender),state_solc_variable(address[]))
(reference(uint32)):=(reference(uint32))
new_elementary(string)
(state_solc_variable(bytes32)):=(local_solc_variable(memory))
index(address_payable)
new_array(bytes32)
(reference(uint8)):=(reference(uint8))
send(temporary_variable)
(reference(uint32)):=(local_solc_variable(default))
solidity_call(abi.decode())
internal_call(uint64)
(state_solc_variable(uint256)):=(solidity_variable_composed(block.timestamp))
index(uint256[2])
unary(~)
(reference(uint8)):=(local_solc_variable(default))
(reference(uint32)):=(constant(uint256))
(reference(bytes)):=(temporary_variable)
delete(state_solc_variable(address),state_solc_variable(address))
(local_solc_variable(default)):=(constant(address))
type_conversion(int8)
(local_solc_variable(storage)):=(temporary_variable)
internal_call(uint256[4])
delete(state_solc_variable(mapping),reference(user_defined_array))
index(uint256[3])
(reference(uint64)):=(local_solc_variable(default))
(local_solc_variable(memory)):=(reference(bytes))
(reference(uint256)):=(solidity_variable_composed(msg.value))
(local_solc_variable(memory)):=(reference(uint32))
delete(state_solc_variable(mapping),reference(string))
(local_solc_variable(default)):=(state_solc_variable(uint8))
(state_solc_variable(uint16)):=(local_solc_variable(memory))
delete(reference(mapping),reference(user_defined_type))
solidity_call(sha256(bytes))
(reference(uint256)):=(reference(uint16))
(reference(bytes32)):=(constant(string))
(local_solc_variable(memory)):=(reference(uint8))
delete(reference(mapping),reference(uint256))
(reference(uint16)):=(constant(uint256))
index(uint256[6])
(local_solc_variable(default)):=(state_solc_variable(user_defined_type))
(state_solc_variable(user_defined_array)):=(local_solc_variable(memory))
(local_solc_variable(memory)):=(reference(uint256[]))
index(int8)
type_conversion(uint48)
send(solidity_variable_composed(msg.value))
(local_solc_variable(memory)):=(reference(int256))
index(uint256[10])
(temporary_variable):=(reference(uint32))
internal_call(uint256[5])
(state_solc_variable(uint32)):=(constant(uint256))
(local_solc_variable(default)):=(state_solc_variable(uint16))
(local_solc_variable(default)):=(reference(bool))
index(uint40)
push(local_solc_variable(memory),reference(address[]))
(reference(address)):=(constant(address))
(state_solc_variable(uint256[])):=(local_solc_variable(memory))
delete(state_solc_variable(uint256),state_solc_variable(uint256))
index(bytes10)
(local_solc_variable(memory)):=(reference(bytes32))
(state_solc_variable(uint128)):=(local_solc_variable(memory))
(local_solc_variable(storage)):=(reference(user_defined_array))
internal_call(int8)
delete(state_solc_variable(user_defined_array),reference(user_defined_type))
delete(state_solc_variable(mapping),reference(uint64))
(temporary_variable):=(state_solc_variable(uint32))
(reference(uint40)):=(temporary_variable)
(local_solc_variable(default)):=(reference(int256))
(temporary_variable):=(state_solc_variable(uint16))
(reference(bytes4)):=(temporary_variable)
push(solidity_variable_composed(msg.sender),reference(address[]))
index(int256[])
push(local_solc_variable(default),state_solc_variable(address[]))
(local_solc_variable(storage)):=(reference(uint256[]))
push(local_solc_variable(memory),reference(user_defined_array))
type_conversion(int64)
(state_solc_variable(uint64)):=(local_solc_variable(memory))
(reference(bool)):=(reference(bool))
(reference(int8)):=(constant(int256))
(local_solc_variable(memory)):=(state_solc_variable(address))
(temporary_variable):=(reference(uint8))
(local_solc_variable(default)):=(solidity_variable_composed(block.timestamp))
(local_solc_variable(memory)):=(reference(uint16))
(state_solc_variable(uint16)):=(constant(uint256))
push(local_solc_variable(default),reference(uint256[]))
(state_solc_variable(user_defined_type)):=(state_solc_variable(user_defined_type))
new_array(uint32)
delete(state_solc_variable(address[]),reference(address))
(local_solc_variable(default)):=(reference(uint128))
(local_solc_variable(memory)):=(constant(int256))
(local_solc_variable(memory)):=(solidity_variable_composed(block.number))
(local_solc_variable(memory)):=(reference(address[]))
new_array(bool)
(local_solc_variable(storage)):=(reference(uint32[]))
internal_call(address[])
(local_solc_variable(default)):=(reference(None))
(state_solc_variable(uint256)):=(solidity_variable_composed(msg.value))
push(constant(address),state_solc_variable(address[]))
(temporary_variable):=(state_solc_variable(uint8))
(reference(uint256[])):=(local_solc_variable(memory))
(reference(uint8)):=(state_solc_variable(uint8))
solidity_call(suicide(address))
new_array(user_defined_type)
push(local_solc_variable(default),state_solc_variable(bytes32[]))
index(uint24)
index(uint256[2][])
push(temporary_variable,reference(uint256[]))
type_conversion(bytes8)
internal_call(bytes1)
(reference(user_defined_type)):=(local_solc_variable(default))
(reference(uint64)):=(constant(uint256))
push(local_solc_variable(memory),state_solc_variable(bytes32[]))
new_array(uint16)
transfer(constant(uint256))
(temporary_variable):=(reference(uint16))
(reference(uint128)):=(reference(uint128))
delete(reference(user_defined_array),reference(user_defined_type))
(reference(int256)):=(local_solc_variable(memory))
index(uint256[7])
(reference(uint64)):=(reference(uint64))
send(state_solc_variable(uint256))
type_conversion(bytes2)
internal_call(bytes16)
(reference(int256)):=(local_solc_variable(default))
push(local_solc_variable(memory),reference(bytes32[]))
(local_solc_variable(memory)):=(state_solc_variable(user_defined_type))
(reference(int256)):=(constant(int256))
new_array(uint128)
internal_call(uint256[2])
(local_solc_variable(memory)):=(reference(uint128))
(state_solc_variable(uint64)):=(temporary_variable)
(reference(user_defined_type)):=(reference(None))
(state_solc_variable(address)):=(reference(address))
(local_solc_variable(default)):=(constant(string))
push(reference(address),state_solc_variable(address[]))
push(local_solc_variable(default),state_solc_variable(uint256[]))
(reference(address[])):=(local_solc_variable(memory))
(state_solc_variable(address)):=(local_solc_variable(default))
(reference(bool)):=(local_solc_variable(default))
(local_solc_variable(default)):=(state_solc_variable(uint32))
new_array(uint8)
push(local_solc_variable(memory),state_solc_variable(uint16[]))
delete(state_solc_variable(address[]),state_solc_variable(address[]))
push(local_solc_variable(memory),local_solc_variable(storage))
new_array(int256)
delete(local_solc_variable(storage),reference(uint32))
type_conversion(int32)
(reference(int256)):=(reference(int256))
(state_solc_variable(bytes32)):=(constant(string))
push(temporary_variable,state_solc_variable(uint256[]))
(reference(bytes16)):=(temporary_variable)
index(bytes14)
condition(constant(bool))
(local_solc_variable(None)):=(temporary_variable)
type_conversion(uint112)
(reference(bytes4)):=(constant(string))
(reference(string)):=(reference(string))
type_conversion(uint216)
(local_solc_variable(default)):=(reference(uint40))
type_conversion(uint24)
(state_solc_variable(uint128)):=(constant(uint256))
index(address[5])
(reference(uint32)):=(state_solc_variable(uint32))
(reference(uint256)):=(reference(uint8))
(local_solc_variable(default)):=(state_solc_variable(uint128))
(local_solc_variable(memory)):=(state_solc_variable(string))
delete(state_solc_variable(bytes32[]),reference(bytes32))
index(uint40[])
(reference(uint16)):=(local_solc_variable(default))
index(address[2])
(state_solc_variable(uint32[])):=(local_solc_variable(memory))
index(uint64[])
push(temporary_variable,state_solc_variable(address[]))
push(temporary_variable,local_solc_variable(storage))
type_conversion(bytes20)
type_conversion(bytes16)
solidity_call(ripemd160())
index(bytes32[8])
delete(local_solc_variable(storage),reference(uint256))
condition(local_solc_variable(None))
(local_solc_variable(default)):=(reference(mapping))
internal_call(bytes32[])
delete(state_solc_variable(bytes32[]),state_solc_variable(bytes32[]))
type_conversion(uint120)
(local_solc_variable(memory)):=(solidity_variable_composed(msg.sender))
type_conversion(uint176)
(reference(uint256)):=(local_solc_variable(None))
type_conversion(bytes10)
internal_call(int128)
index(uint8[14])
delete(reference(mapping),reference(bool))
(state_solc_variable(bytes)):=(local_solc_variable(memory))
(state_solc_variable(string)):=(local_solc_variable(calldata))
push(local_solc_variable(default),reference(address[]))
(reference(bytes1)):=(local_solc_variable(default))
index(uint256[5])
(reference(user_defined_type)):=(local_solc_variable(storage))
(local_solc_variable(memory)):=(state_solc_variable(uint8))
